Entity,Type,Superclass(es)
Thing_in_role,Class,owl:Thing
Account,Class,Product
Airborne,Class,Property
Airplane,Class,Property
Apartment,Class,Property
Appliance,Class,Property
Backsplash,Class,Property
Backyard,Class,Property
Balcony,Class,Property
Basement,Class,Property
Bathroom,Class,Property
Bay,Class,Property
Belongings,Class,Property
Boat,Class,Property
Bridge,Class,Property
Bridging_Loan,Class,Loan
Building,Class,Property
Cabinet,Class,Property
Camera,Class,Property
Car,Class,Property
Carport,Class,Property
Carriage,Class,Property
Castle,Class,Property
Check,Class,Product
Coaster,Class,Property
Condo,Class,Property
Consumer_Loan,Class,Loan
Conventional_Home_Mortgage,Class,Mortgage
Cottage,Class,Property
Courtyard,Class,Property
Credit_Card,Class,Product
Dam,Class,Property
Debit_Card,Class,Product
Duplex,Class,Property
Exterior,Class,Property
FHA_Mortgage,Class,Mortgage
Farm_house,Class,Property
Federal_Student_Loan,Class,Loan
Forklift,Class,Property
Fridge,Class,Property
Furnace,Class,Property
Furniture,Class,Property
Garage,Class,Property
Garden,Class,Property
Gift_Card,Class,Product
HELOC,Class,Mortgage
Hall,Class,Property
Harbor,Class,Property
Hill,Class,Property
Home,Class,Property
Homesite,Class,Property
Homestead,Class,Property
Horse,Class,Property
House,Class,Property
Housing_Loan,Class,Loan
Interior,Class,Property
Investment_Loan,Class,Loan
Kitchen,Class,Property
Lake,Class,Property
Living_room,Class,Property
Loan,Class,Product
Locomotive,Class,Property
Loft,Class,Property
Mobile_House,Class,Property
Money_Transfer,Class,Product
Mortgage,Class,Product
Motel,Class,Property
Mountain,Class,Property
Mower,Class,Property
Non_Purpose_Loan,Class,Loan
Oak,Class,Property
Outbuilding,Class,Property
Pasture,Class,Property
Patio,Class,Property
Pawn_Loan,Class,Loan
Payday_Loan,Class,Loan
Payroll_Card,Class,Product
Pier,Class,Property
Plane,Class,Property
Plant,Class,Property
Plantation,Class,Property
Plaza,Class,Property
Pond,Class,Property
Pool,Class,Property
Porch,Class,Property
Prefab,Class,Property
Prepaid_Card,Class,Product
Private_Student_Loan,Class,Loan
Product,Class,owl:Thing
Property,Class,owl:Thing
Purposose_Loan,Class,Loan
Ranch,Class,Property
Rig,Class,Property
Rink,Class,Property
Room,Class,Property
Salon,Class,Property
Stair,Class,Property
Staircase,Class,Property
Statue,Class,Property
Student_Loan,Class,Loan
Sunroom,Class,Property
Tank,Class,Property
Tower,Class,Property
Townhome,Class,Property
Townhouse,Class,Property
Tractor,Class,Property
Trading_Loan,Class,Loan
Tree,Class,Property
Truck,Class,Property
Tunnel,Class,Property
VA_Mortgage,Class,Mortgage
Valuable,Class,Property
Vault,Class,Property
Vehicle,Class,Property
Vehicle_Loan,Class,Loan
Vessel,Class,Property
Villa,Class,Property
Virtual_Currency,Class,Product
Ware_house,Class,Property
Yard,Class,Property
Garage/Carport,Class,Property
Office/Sunroom,Class,Property
Abused,Class,Negative_outcome
Abusiveness,Class,Negative_outcome
Activity,Class,Event
Administrator,Class,Responsible_party
Advertising,Class,Activity
Afni,Class,Agent_in_role
Agent_for_service_of_process,Class,Registered_agent
Agent_in_role,Class,Thing_in_role
Allianceone,Class,Party_in_role
Amateur,Class,Party_in_role
Anxious,Class,Negative_outcome
Application,Class,Activity
Asset,Class,Thing_in_role
Attoney,Class,Responsible_party
Audit,Class,Party_in_role
Auditor,Class,Responsible_party
Authorization,Class,"Party_in_role	Responsible_party"
Banking_service,Class,Financial_service
Bankruptcy,Class,Financial_event
Bill,Class,Financial_event
Borrower,Class,"Party_in_role	Contract_party"
Broader_member,Class,Controlling_party
Broker,Class,"Party_in_role	Contract_third_party"
Buggy,Class,Negative_outcome
Buy,Class,Activity
Buyer,Class,Party_in_role
Carrier,Class,Party_in_role
Charge,Class,Activity
Chargedoff,Class,Negative_outcome
Checking_account,Class,Account
Checksmart,Class,Agent_in_role
Cheque,Class,Product
Citicorp,Class,Agent_in_role
Citizensbank,Class,Agent_in_role
Client,Class,Party_in_role
Close,Class,Negative_outcome
Collateral,Class,Asset
Collecter,Class,Party_in_role
Companion,Class,Buyer
Complaint,Class,owl:Thing
Conflict,Class,Negative_outcome
Confuse,Class,Negative_outcome
Consortium,Class,Party_in_role
Consumer,Class,Party_in_role
Contract_counterparty,Class,Contract_party
Contract_originator,Class,Contract_principal
Contract_party,Class,Party_in_role
Contract_principal,Class,Contract_party
Contract_third_party,Class,Party_in_role
Controlled_company,Class,Controlled_party
Controlled_party,Class,Party_in_role
Controlling_party,Class,Party_in_role
Cosigner,Class,Contract_party
Councilor,Class,Party_in_role
Credit_account,Class,Account
Creditor,Class,Party_in_role
Customer,Class,Buyer
Damage,Class,Negative_outcome
Dangerous,Class,Negative_outcome
Daughter,Class,Buyer
Dealer,Class,Service_provider
Debt,Class,Financial_event
